文件名,方块ID 中文名,匹配方式
absorb_claws.png,1160 机械爪,贴图列精确
absorb_claws_emi.png,1160 机械爪,贴图列+_emi
absorb_claws_mix.png,1160 机械爪,贴图列+_mix
absorb_claws_off.png,1160 机械爪,贴图列+_off
absorb_claws_on.png,1160 机械爪,贴图列+_on
absorb_claws_on_emi.png,1160 机械爪,贴图列+_on
adobe.png,421 土砖,贴图列精确
adobe_mix.png,421 土砖,贴图列+_mix
adorn1_hang.png,1675 中国结挂饰,贴图列精确
adorn1_hang_rgb.png,1675 中国结挂饰,贴图列+_rgb
adorn2_hang.png,1676 星球挂饰,贴图列精确
adorn2_hang_rgb.png,1676 星球挂饰,贴图列+_rgb
agave_middle.png,307 红色忘忧草; 308 橙色忘忧草; 309 灰色忘忧草; 310 粉色忘忧草; 1494 红色忘忧草（苗）; 1495 橙色忘忧草（苗）; 1496 灰色忘忧草（苗）; 1497 粉色忘忧草（苗）; 150049 白色野花; 150050 蓝色野花; 150051 黄色野花; 150052 蓝粉雏菊丛; 150053 橙色雏菊丛; 150054 粉色雏菊丛; 150055 粉蝶花; 150056 薰衣草; 150057 荧光小草; 150059 星光菌; 150060 蒲公英; 150061 狗尾草; 150063 油菜花; 150064 郁金香; 150065 三叶草; 200400 虚空龙血花; 200404 虚空忘忧草,贴图列+_middle
agave_orange.png,308 橙色忘忧草; 315 珊瑚2（废弃 ）; 1483 橙色忘忧草,贴图列精确
agave_pink.png,310 粉色忘忧草; 317 珊瑚4（废弃 ）; 1485 粉色忘忧草,贴图列精确
agave_red.png,307 红色忘忧草; 1453 红色忘忧草,贴图列精确
agave_white.png,309 灰色忘忧草; 316 珊瑚3（废弃 ）; 1484 灰色忘忧草,贴图列精确
aiqiyi.png,,
aiqiyi1.png,,
air_wall.png,1001 空气墙方块,贴图列精确
air_wall2.png,1018 空气墙-不挡子弹,贴图列精确
air_wall3.png,1081 空气墙-不挡物理,贴图列精确
airbottle.png,1047 压缩气罐（空）; 1048 压缩气罐（氧气）,贴图列精确
airbottle_glass.png,1047 压缩气罐（空）; 1048 压缩气罐（氧气）,贴图列+_glass
airbottle_mix.png,1047 压缩气罐（空）; 1048 压缩气罐（氧气）,贴图列+_mix
airrefiner.png,1045 氧气提炼装置,贴图列精确
airrefiner_mix.png,1045 氧气提炼装置,贴图列+_mix
alientotem1.png,21 信号发生器; 135 神秘图腾-大地; 139 BOSS战使用方块,贴图列精确
alientotem1_blue.png,21 信号发生器; 135 神秘图腾-大地; 139 BOSS战使用方块,贴图列+_blue
alientotem1_mix.png,21 信号发生器; 135 神秘图腾-大地; 139 BOSS战使用方块,贴图列+_mix
alientotem1_red.png,21 信号发生器; 135 神秘图腾-大地; 139 BOSS战使用方块,贴图列+_red
alientotem1_white.png,21 信号发生器; 135 神秘图腾-大地; 139 BOSS战使用方块,贴图列+_white
alientotem2.png,22 信号接收器; 136 神秘图腾-天空,贴图列精确
alientotem2_mix.png,22 信号接收器; 136 神秘图腾-天空,贴图列+_mix
alientotemcenter.png,1042 神秘图腾; 1049 神秘图腾(污染核心),贴图列精确
alientotemcenter_mix.png,1042 神秘图腾; 1049 神秘图腾(污染核心),贴图列+_mix
all_condensation.png,1758 黑凝浆块,贴图列精确
all_condensation_1.png,1758 黑凝浆块,贴图列+_1
all_condensation_1_emi.png,1758 黑凝浆块,贴图列+_1
all_condensation_2.png,1758 黑凝浆块,贴图列+_2
all_condensation_2_emi.png,1758 黑凝浆块,贴图列+_2
all_condensation_3.png,1758 黑凝浆块,贴图列+_3
all_condensation_3_emi.png,1758 黑凝浆块,贴图列+_3
all_condensation_mix.png,1758 黑凝浆块,贴图列+_mix
aloe.png,1509 芦荟,贴图列精确
altar.png,580 祭台; 200248 符文祭坛; 200251 破损的祭坛,贴图列精确
altar_mix.png,580 祭台; 200248 符文祭坛; 200251 破损的祭坛,贴图列+_mix
altarkey_earth.png,587 神圣果实,贴图列精确
altarkey_earth_emi.png,587 神圣果实,贴图列+_emi
altarkey_earth_mix.png,587 神圣果实,贴图列+_mix
altarkey_flame.png,588 烈焰断剑,贴图列精确
altarkey_flame_emi.png,588 烈焰断剑,贴图列+_emi
altarkey_flame_mix.png,588 烈焰断剑,贴图列+_mix
altarkey_horas.png,589 石人之眼,贴图列精确
altarkey_horas_emi.png,589 石人之眼,贴图列+_emi
altarkey_horas_mix.png,589 石人之眼,贴图列+_mix
aluminium_block.png,178 铝块; 150740 铝木锯,贴图列精确
aluminium_block_matcap.png,178 铝块; 150740 铝木锯,贴图列+_matcap
aluminium_block_mix.png,178 铝块; 150740 铝木锯,贴图列+_mix
aluminum1.png,175 铝矿,贴图列+1
