文件名,物品ID 中文名,匹配方式
10000001.png,,
10127.png,10127 七彩石,ID直连
10128.png,10128 迷局碎片,ID直连
43000.png,43000 小花花,图标列
43001.png,43001 抱拳,图标列
43002.png,43002 珍珠奶茶,图标列
43003.png,43003 赞,图标列
43004.png,43004 祈愿烟火,图标列
43005.png,43005 深情粽意,图标列
43006.png,43006 打call,图标列
43007.png,43007 吃我一炸,图标列
43008.png,43008 浓情玫瑰,图标列
43009.png,43009 鹊桥相会,图标列
43010.png,43010 黄色烟花,图标列
43011.png,43011 粉色烟花,图标列
43012.png,43012 心形烟花,图标列
43013.png,43013 拥抱娃娃,图标列
43014.png,43014 送温暖,图标列
43015.png,43015 心动电波,图标列
43016.png,43016 仙女棒,图标列
43017.png,43017 旋风超跑,图标列
43018.png,43018 新年御守,图标列
43019.png,43019 噼里啪啦,图标列
43020.png,43020 元宵花灯,图标列
43021.png,43021 浓情巧克力,图标列
43022.png,43022 生日蛋糕,图标列
43023.png,43023 马上发财,图标列
43024.png,43024 火箭发射,图标列
43025.png,43025 甜甜圈,图标列
43026.png,43026 旋转木马,图标列
49108.png,49108 福袋,ID直连
ai_630002.png,630002 初级玩伴,图标列
ai_630003.png,630003 中级玩伴,图标列
ai_630004.png,630004 高级玩伴,图标列
ai_630005.png,630005 互动量10000,图标列
broadcast_vip01.png,90001 紫曜之冠; 92001 紫曜之冠（3天）,图标列
broadcast_vip02.png,90002 雀灵魅影; 92002 雀灵魅影（3天）,图标列
broadcast_vip03.png,90003 幻想童话; 92003 幻想童话（3天）,图标列
broadcast_vip04.png,90004 缤纷彩虹; 92004 缤纷彩虹（3天）,图标列
broadcast_vip05.png,90005 最佳拍档; 92005 最佳拍档（3天）,图标列
broadcast_vip06.png,90006 琉光圣灵; 92006 琉光圣灵（3天）,图标列
broadcast_vip07.png,90007 梦幻之约; 92007 梦幻之约（3天）,图标列
broadcast_vip08.png,90008 花蝶入梦; 92008 花蝶入梦（3天）,图标列
broadcast_vip09.png,90009 变形金刚; 92009 变形金刚（3天）,图标列
broadcast_vip10.png,90010 彩虹旋风; 92010 彩虹旋风（3天）,图标列
broadcast_vip11.png,90011 瑶光玄灵; 92011 瑶光玄灵（3天）,图标列
broadcast_vip12.png,90012 花蔓四季; 92012 花蔓四季（3天）,图标列
broadcast_vip13.png,90013 喜羊羊与灰太狼; 92013 喜羊羊与灰太狼（3天）,图标列
broadcast_vip14.png,90014 古韵山水; 92014 古韵山水（3天）,图标列
broadcast_vip15.png,90015 青白之息; 92015 青白之息（3天）,图标列
broadcast_vip16.png,90016 机械时代; 92016 机械时代（3天）,图标列
broadcast_vip17.png,90017 日月同辉; 92017 日月同辉（3天）,图标列
bubble_vip01.png,86001 尊享之冠; 88001 尊享之冠（3天）,图标列
bubble_vip02.png,86002 暮光之灵; 88002 暮光之灵（3天）,图标列
bubble_vip03.png,86003 奇迹派对; 88003 奇迹派对（3天）,图标列
bubble_vip04.png,86004 龙响天下; 88004 龙响天下（3天）,图标列
bubble_vip05.png,86005 花蔓四季; 88005 花蔓四季（3天）,图标列
bubble_vip06.png,86006 幻想童话; 88006 幻想童话（3天）,图标列
bubble_vip07.png,86007 缤纷彩虹; 88007 缤纷彩虹（3天）,图标列
bubble_vip08.png,86008 梦幻之约; 88008 梦幻之约（3天）,图标列
bubble_vip09.png,86009 迷萌星球; 88009 迷萌星球（3天）,图标列
bubble_vip10.png,86010 瑶光玄灵; 88010 瑶光玄灵（3天）,图标列
bubble_vip11.png,86011 喜羊羊与灰太狼; 88011 喜羊羊与灰太狼（3天）,图标列
bubble_vip12.png,86012 古韵山水; 88012 古韵山水（3天）,图标列
bubble_vip13.png,86013 青白之息; 88013 青白之息（3天）,图标列
bubble_vip14.png,86014 机械时代; 88014 机械时代（3天）,图标列
bubble_vip15.png,86015 摇滚街区; 88015 摇滚街区（3天）,图标列
bubble_vip16.png,86016 佛凰一体; 88016 佛凰一体（3天）,图标列
centerbg1.png,101804 花织绘梦; 102304 花织绘梦（3天）,图标列
centerbg2.png,101805 末日狂潮; 102305 末日狂潮（3天）,图标列
centerbg21.png,101821 日月当空; 102321 日月当空（3天）,图标列
centerbg22.png,101822 雁群昭昭; 102322 雁群昭昭（3天）,图标列
centerbg23.png,101823 梅花香雪; 102323 梅花香雪（3天）,图标列
centerbg24.png,101824 双鱼启灵; 102324 双鱼启灵（3天）,图标列
centerbg25.png,101825 白羊星宫; 102325 白羊星宫（3天）,图标列
centerbg26.png,101826 金牛星宫; 102326 金牛星宫（3天）,图标列
centerbg27.png,101827 潮汐巨灵; 102327 潮汐巨灵（3天）,图标列
centerbg28.png,101828 双子星宫; 102328 双子星宫（3天）,图标列
centerbg29.png,101829 石榴花之域; 102329 石榴花之域（3天）,图标列
centerbg30.png,101830 极地魔法; 102330 极地魔法（3天）,图标列
cloudportal.png,1100 地图传送方块,图标列
emoji1.png,102801 基础动态表情包; 103301 基础动态表情包 （3天）,图标列
emoji2.png,102802 社交表情包; 103302 社交表情包（3天）,图标列
emoji4.png,102804 拾之蜜语; 103304 拾之蜜语（3天）,图标列
emotion1.png,99801 揽星入梦; 100301 揽星入梦（3天）,图标列
emotion13.png,99813 审判机械; 100313 审判机械（3天）,图标列
emotion14.png,99814 幽冥烬棠; 100314 幽冥烬棠（3天）,图标列
emotion2.png,99802 妙笔千山; 100302 妙笔千山（3天）,图标列
